Col,Row,Surface,Thickness,Bed
2666,1881,24,96,-465
2667,1881,23,89,-460
2668,1881,23,83,-454
2669,1881,22,76,-449
2670,1881,21,68,-444
2671,1881,20,60,-439
2672,1881,20,59,-434
2673,1881,20,57,-429
2674,1881,20,56,-426
2675,1881,20,57,-421
2676,1881,20,58,-416
2677,1881,20,59,-411
2678,1881,21,65,-406
2679,1881,22,73,-401
2680,1881,23,79,-396
2681,1881,23,78,-392
2592,1882,-9999,-9999,-301
2593,1882,-9999,-9999,-300
2594,1882,-9999,-9999,-300
2595,1882,-9999,-9999,-300
2596,1882,-9999,-9999,-300
2597,1882,-9999,-9999,-300
2598,1882,-9999,-9999,-300
2599,1882,-9999,-9999,-301
2600,1882,-9999,-9999,-304
2601,1882,-9999,-9999,-311
2602,1882,-9999,-9999,-322
2603,1882,-9999,-9999,-329
2604,1882,-9999,-9999,-337
2605,1882,-9999,-9999,-345
2606,1882,-9999,-9999,-350
2607,1882,-9999,-9999,-357
2608,1882,-9999,-9999,-366
2609,1882,-9999,-9999,-377
2610,1882,-9999,-9999,-392
2611,1882,-9999,-9999,-401
2612,1882,-9999,-9999,-411
2613,1882,-9999,-9999,-417
2614,1882,-9999,-9999,-425
2615,1882,-9999,-9999,-430
2616,1882,-9999,-9999,-435
2617,1882,-9999,-9999,-440
2618,1882,-9999,-9999,-448
2619,1882,-9999,-9999,-453
2620,1882,-9999,-9999,-464
2621,1882,-9999,-9999,-471
2622,1882,-9999,-9999,-482
2623,1882,-9999,-9999,-485
2624,1882,-9999,-9999,-487
2625,1882,-9999,-9999,-491
2626,1882,-9999,-9999,-496
2627,1882,-9999,-9999,-501
2628,1882,-9999,-9999,-507
2629,1882,-9999,-9999,-512
2630,1882,-9999,-9999,-518
2631,1882,-9999,-9999,-523
2632,1882,-9999,-9999,-528
2633,1882,-9999,-9999,-533
2634,1882,-9999,-9999,-538
2635,1882,-9999,-9999,-543
2636,1882,11,47,-548
2637,1882,12,58,-552
2638,1882,15,73,-555
2639,1882,18,92,-557
2640,1882,22,113,-558
2641,1882,25,138,-559
2642,1882,29,165,-559
2643,1882,31,185,-559
2644,1882,32,190,-558
2645,1882,31,176,-555
2646,1882,28,152,-553
2647,1882,25,125,-550
2648,1882,23,101,-548
2649,1882,21,87,-544
2650,1882,22,89,-541
2651,1882,23,101,-537
2652,1882,25,113,-533
2653,1882,26,119,-528
2654,1882,26,121,-523
2655,1882,27,129,-518
2656,1882,28,139,-513
2657,1882,29,146,-508
2658,1882,29,145,-503
2659,1882,28,138,-499
2660,1882,27,130,-494
2661,1882,27,122,-488
2662,1882,26,116,-482
2663,1882,26,112,-477
2664,1882,25,108,-472
2665,1882,25,104,-467
2666,1882,24,96,-463
2667,1882,23,89,-458
2668,1882,23,81,-452
2669,1882,22,75,-447
2670,1882,21,67,-441
2671,1882,21,61,-436
2672,1882,20,59,-431
2673,1882,20,58,-427
2674,1882,20,58,-422
2675,1882,21,61,-418
2676,1882,21,65,-412
2677,1882,21,68,-407
2678,1882,22,75,-402
2679,1882,23,84,-397
2680,1882,24,87,-392
2681,1882,23,83,-387
2592,1883,-9999,-9999,-301
2593,1883,-9999,-9999,-299
2594,1883,-9999,-9999,-300
2595,1883,-9999,-9999,-300
2596,1883,-9999,-9999,-300
2597,1883,-9999,-9999,-300
2598,1883,-9999,-9999,-300
2599,1883,-9999,-9999,-301
2600,1883,-9999,-9999,-306
2601,1883,-9999,-9999,-313
2602,1883,-9999,-9999,-324
2603,1883,-9999,-9999,-334
2604,1883,-9999,-9999,-339
2605,1883,-9999,-9999,-347
2606,1883,-9999,-9999,-354
2607,1883,-9999,-9999,-361
2608,1883,-9999,-9999,-369
2609,1883,-9999,-9999,-380
2610,1883,-9999,-9999,-394
2611,1883,-9999,-9999,-403
2612,1883,-9999,-9999,-413
2613,1883,-9999,-9999,-423
2614,1883,-9999,-9999,-429
2615,1883,-9999,-9999,-433
2616,1883,-9999,-9999,-438
2617,1883,-9999,-9999,-444
2618,1883,-9999,-9999,-453
2619,1883,-9999,-9999,-460
