Col,Row,Surface,Thickness,Bed
2662,1973,369,622,-253
2627,1894,15,-9999,-512
2672,1945,218,382,-164
2614,1884,16,-9999,-431
2676,1905,18,45,-337
2602,1916,20,-9999,-282
2675,1886,24,95,-408
2679,1918,15,57,-266
2622,1967,27,-9999,-449
2667,1950,188,364,-176
2610,1935,26,180,-312
2597,1959,25,-9999,-442
2632,1951,26,-9999,-353
2619,1959,26,-9999,-411
2623,1943,27,67,-333
2594,1967,25,-9999,-450
2627,1924,27,141,-323
2631,1972,20,-9999,-363
2602,1950,25,-9999,-306
2624,1934,29,161,-321
2615,1972,26,-9999,-421
2606,1955,25,-9999,-390
2632,1917,26,134,-350
2636,1885,16,71,-557
2623,1909,23,-9999,-374
2594,1905,20,-9999,-330
2628,1900,16,-9999,-467
2615,1882,16,-9999,-430
2616,1900,16,-9999,-442
2633,1970,20,-9999,-349
2603,1906,22,-9999,-299
2671,1946,215,377,-162
2608,1932,26,171,-312
2659,1890,30,157,-491
2646,1944,27,148,-309
2663,1882,26,112,-477
2617,1970,26,-9999,-439
2634,1904,22,106,-451
